"Model: 'ARClock_withLocalization::slowdunequal PDE R1um, Gene in R<0.1, D=0'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation: 'Simulation19' (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(SimID_1128574074_0_ (PDE Simulation)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sim time range (0.0 100.0) (saved timepoints 101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of variables (46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable names,A,C,mRNA_A_,mRNA_R,PrmA,PrmA_bound,PrmR,PrmR_bound,R,vcRegionVolume,vcRegionArea,vcRegionVolume_cell,vcRegionVolume_extracellular,J_A_decay,J_A_trnscr,J_A_trnsl,J_active_A_trnscr,J_active_R_trnsc,J_AR_binding,J_C_decay,J_mRNA_A_decay,J_mRNA_R_decay,J_PrmA_activation,J_PrmR_activation,J_R_decay,J_R_trnsc,J_R_trnsl,Kf_A_decay,Kf_A_trnscr,Kf_A_trnsl,Kf_active_A_trnscr,Kf_active_R_trnsc,Kf_AR_binding,Kf_C_decay,Kf_PrmA_activation,Kf_PrmR_activation,Kf_R_trnsc,Kf_R_trnsl,PrmA_init_uM,PrmR_init_uM,Size_cell,Size_EC,Size_PM,sobj_cell1_extracellular0_size,vobj_cell1_size,vobj_extracellular0_size
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable ('A') times (0.0 100.0) (roi=('vl5') coord=(X=1.0 Y=0.0 Z=0.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distances,,0,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.95,1.95,2,,MAX,MIN,AVG,,RATIO,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,1,0,0,0.313210976,0.313712577,0.31471578,0.316757244,0.319904414,0.324244976,0.329875575,0.336889849,0.345340543,0.355022358,0.364080459,0.361652155,0.352207453,0.343618702,0.336600092,0.331048105,0.32682229,0.323797059,0.321860638,0.320920705,0.320450739,0,0,,0.364080459,0.313210976,0.33203489,,1.162412839,,,,,,,,,,,,,,
,2,0,0,0.574756443,0.575309056,0.576414282,0.578661461,0.582121832,0.586888265,0.59306355,0.600749433,0.610012597,0.620676484,0.630929962,0.62826793,0.617726529,0.608360184,0.600744288,0.59472716,0.590148485,0.586870908,0.584773289,0.583755374,0.583246417,0,0,,0.630929962,0.574756443,0.595628758,,1.097734475,,,,,,,,,,,,,,
,3,0,0,0.616175267,0.616732946,0.617848302,0.620115894,0.623607327,0.628415976,0.63464528,0.642398009,0.651743203,0.662510828,0.672908553,0.670217881,0.659544891,0.650096464,0.642420224,0.636356713,0.631742933,0.628440234,0.626326552,0.625300862,0.624788017,0,0,,0.672908553,0.616175267,0.637254112,,1.092073293,,,,,,,,,,,,,,
,4,0,0,0.548086042,0.548638155,0.549742379,0.551987272,0.555443607,0.560203703,0.566369921,0.574044254,0.583296251,0.593962318,0.604287252,0.601618952,0.591028527,0.581673117,0.574076261,0.568076313,0.5635111,0.560243203,0.558151795,0.557136914,0.556629474,0,0,,0.604287252,0.548086042,0.568962229,,1.102540852,,,,,,,,,,,,,,
,5,0,0,0.427386611,0.427924546,0.429000417,0.431187603,0.434554969,0.439192392,0.445199648,0.452676565,0.461692722,0.4720953,0.482198774,0.479591511,0.469238026,0.460118334,0.45271835,0.446875244,0.442429713,0.439247572,0.437211073,0.436222849,0.435728736,0,0,,0.482198774,0.427386611,0.447737664,,1.128249602,,,,,,,,,,,,,,
,6,0,0,0.277388262,0.277895963,0.278911365,0.280975545,0.284153422,0.288529857,0.294199413,0.301257741,0.309775182,0.31962316,0.329267304,0.326786873,0.316926252,0.308303072,0.301319454,0.29580877,0.291617251,0.288617295,0.28669752,0.28576598,0.285300209,0,0,,0.329267304,0.277388262,0.296624757,,1.187026812,,,,,,,,,,,,,,
,7,0,0,0.096539641,0.09694453,0.097754308,0.099401499,0.101940327,0.105442925,0.109992409,0.115679596,0.122593575,0.130724058,0.139152374,0.137026519,0.128524612,0.121456285,0.115819679,0.111401042,0.108051965,0.10566021,0.104131855,0.103390904,0.103020429,0,0,,0.139152374,0.096539641,0.11212613,,1.441401397,,,,,,,,,,,,,,
,8,0,0,3.13E-04,3.15E-04,3.20E-04,3.29E-04,3.46E-04,3.73E-04,4.16E-04,4.91E-04,6.27E-04,8.95E-04,0.001382971,0.00123859,7.83E-04,5.64E-04,4.58E-04,4.00E-04,3.67E-04,3.47E-04,3.36E-04,3.30E-04,3.28E-04,0,0,,0.001382971,0.000313161,0.000521924,,4.416162123,,,,,,,,,,,,,,
,9,0,0,1.53E-04,1.54E-04,1.56E-04,1.61E-04,1.70E-04,1.84E-04,2.06E-04,2.45E-04,3.18E-04,4.72E-04,7.81E-04,6.93E-04,4.09E-04,2.84E-04,2.27E-04,1.97E-04,1.80E-04,1.70E-04,1.64E-04,1.61E-04,1.60E-04,0,0,,0.000780876,0.000152962,0.000268822,,5.105048722,,,,,,,,,,,,,,
,10,0,0,1.44E-04,1.46E-04,1.48E-04,1.52E-04,1.60E-04,1.73E-04,1.95E-04,2.31E-04,3.01E-04,4.47E-04,7.44E-04,6.59E-04,3.87E-04,2.69E-04,2.15E-04,1.86E-04,1.70E-04,1.60E-04,1.55E-04,1.52E-04,1.51E-04,0,0,,0.000743588,0.000144469,0.000254597,,5.147054727,,,,,,,,,,,,,,
,11,0,0,1.58E-04,1.59E-04,1.62E-04,1.67E-04,1.76E-04,1.90E-04,2.13E-04,2.53E-04,3.29E-04,4.88E-04,8.02E-04,7.12E-04,4.23E-04,2.94E-04,2.35E-04,2.04E-04,1.86E-04,1.76E-04,1.70E-04,1.67E-04,1.65E-04,0,0,,0.000802429,0.000158073,0.000277497,,5.076318902,,,,,,,,,,,,,,
,12,0,0,1.83E-04,1.85E-04,1.87E-04,1.93E-04,2.04E-04,2.20E-04,2.47E-04,2.94E-04,3.81E-04,5.62E-04,9.09E-04,8.08E-04,4.87E-04,3.41E-04,2.73E-04,2.37E-04,2.16E-04,2.04E-04,1.97E-04,1.94E-04,1.92E-04,0,0,,0.000908908,0.000183375,0.000319733,,4.956556022,,,,,,,,,,,,,,
,13,0,0,2.19E-04,2.21E-04,2.24E-04,2.31E-04,2.43E-04,2.63E-04,2.96E-04,3.51E-04,4.55E-04,6.64E-04,0.001052652,9.38E-04,5.77E-04,4.07E-04,3.26E-04,2.83E-04,2.58E-04,2.43E-04,2.35E-04,2.31E-04,2.29E-04,0,0,,0.001052652,0.000218928,0.000378437,,4.808205715,,,,,,,,,,,,,,
,14,0,0,2.66E-04,2.68E-04,2.72E-04,2.80E-04,2.95E-04,3.20E-04,3.59E-04,4.27E-04,5.51E-04,7.96E-04,0.001233284,0.001102682,6.93E-04,4.93E-04,3.96E-04,3.44E-04,3.14E-04,2.96E-04,2.85E-04,2.81E-04,2.79E-04,0,0,,0.001233284,0.000265761,0.000454794,,4.640571466,,,,,,,,,,,,,,
,15,0,0,3.26E-04,3.29E-04,3.34E-04,3.45E-04,3.63E-04,3.93E-04,4.42E-04,5.24E-04,6.74E-04,9.62E-04,0.001455037,0.001305911,8.41E-04,6.05E-04,4.87E-04,4.23E-04,3.86E-04,3.64E-04,3.51E-04,3.45E-04,3.42E-04,0,0,,0.001455037,0.000326305,0.000552157,,4.459137541,,,,,,,,,,,,,,
,16,0,0,4.04E-04,4.07E-04,4.14E-04,4.27E-04,4.50E-04,4.87E-04,5.48E-04,6.50E-04,8.31E-04,0.001170502,0.001725708,0.001555676,0.001027188,7.48E-04,6.04E-04,5.25E-04,4.79E-04,4.51E-04,4.35E-04,4.28E-04,4.24E-04,0,0,,0.001725708,0.000404353,0.000675868,,4.267825914,,,,,,,,,,,,,,
,17,0,0,5.06E-04,5.09E-04,5.17E-04,5.34E-04,5.63E-04,6.10E-04,6.86E-04,8.12E-04,0.001033204,0.001432335,0.00205725,0.001863761,0.00126289,9.31E-04,7.56E-04,6.58E-04,6.00E-04,5.65E-04,5.45E-04,5.36E-04,5.31E-04,0,0,,0.00205725,0.000505502,0.00083383,,4.069720612,,,,,,,,,,,,,,
,18,0,0,6.38E-04,6.43E-04,6.53E-04,6.75E-04,7.12E-04,7.72E-04,8.67E-04,0.001024626,0.001294184,0.001764353,0.002467777,0.002247906,0.001564176,0.001170683,9.56E-04,8.33E-04,7.59E-04,7.15E-04,6.89E-04,6.78E-04,6.72E-04,0,0,,0.002467777,0.000638124,0.001037857,,3.867238126,,,,,,,,,,,,,,
,19,0,0,8.15E-04,8.22E-04,8.35E-04,8.63E-04,9.11E-04,9.88E-04,0.001110015,0.001307602,0.001637681,0.002192797,0.002986013,0.002736127,0.001956232,0.00148754,0.001222772,0.001067328,9.73E-04,9.16E-04,8.83E-04,8.68E-04,8.60E-04,0,0,,0.002986013,0.000815421,0.001306557,,3.661927837,,,,,,,,,,,,,,
,20,0,0,0.001060156,0.00106878,0.001086028,0.001123253,0.00118659,0.001287257,0.00144518,0.001696124,0.002103541,0.002762767,0.003661675,0.003376794,0.002482315,0.001920327,0.001590841,0.001392285,0.001269774,0.001194566,0.001151185,0.001131345,0.001121426,0,0,,0.003661675,0.001060156,0.00167201,,3.453903549,,,,,,,,,,,,,,
,21,0,0,0.001417767,0.001429578,0.0014532,0.001504031,0.001590046,0.001725486,0.0019348,0.002259908,0.00277096,0.003564166,0.004594057,0.004266424,0.003228611,0.002545272,0.002128181,0.001869234,0.001706236,0.001604911,0.001546033,0.001519005,0.001505491,0,0,,0.004594057,0.001417767,0.002198257,,3.240346299,,,,,,,,,,,,,,
,22,0,0,0.002004771,0.002021983,0.002056408,0.002130152,0.002253904,0.002446184,0.00273744,0.003177056,0.003842101,0.004826413,0.0060356,0.005650609,0.004415264,0.003557373,0.003008997,0.002656195,0.002428417,0.002284401,0.002199827,0.002160783,0.002141261,0,0,,0.0060356,0.002004771,0.003049292,,3.010618737,,,,,,,,,,,,,,
,23,0,0,0.003307778,0.003337419,0.003396702,0.003522647,0.003730953,0.004047574,0.004512466,0.005185342,0.006150032,0.007487945,0.00900581,0.008524722,0.00694663,0.005763997,0.004958739,0.004414088,0.004049048,0.003812054,0.00367044,0.003604423,0.003571415,0,0,,0.00900581,0.003307778,0.004904772,,2.722616476,,,,,,,,,,,,,,
,24,0,0,0.013216525,0.013332857,0.013565522,0.014047499,0.014811867,0.015906335,0.017391437,0.01933654,0.021800704,0.024724636,0.027279074,0.026487955,0.023717335,0.021082054,0.019000897,0.017424545,0.016271632,0.015472797,0.014973529,0.014734621,0.014615167,0,0,,0.027279074,0.013216525,0.018056835,,2.064012545,,,,,,,,,,,,,,
,25,0,0,0.199839081,0.200300659,0.201223814,0.203102636,0.205999742,0.209996709,0.215183615,0.221647677,0.229436912,0.238353783,0.246642166,0.244414507,0.235766542,0.227859531,0.221394321,0.216281546,0.212391725,0.209608177,0.207827042,0.206962675,0.206530491,0,0,,0.246642166,0.199839081,0.217179207,,1.234203864,,,,,,,,,,,,,,
,26,0,0,0.380664099,0.381190829,0.382244288,0.384386325,0.387685051,0.392229283,0.398117385,0.405446769,0.414281273,0.424451438,0.434220357,0.431679594,0.421631445,0.412695798,0.405429753,0.399689398,0.395321634,0.3921952,0.390194376,0.389223445,0.388737979,0,0,,0.434220357,0.380664099,0.400557891,,1.140691642,,,,,,,,,,,,,,
,27,0,0,0.403603369,0.404136229,0.405201948,0.407368646,0.410704784,0.415299684,0.421252414,0.428661681,0.437594626,0.447891807,0.457848601,0.455271891,0.445054705,0.436020504,0.428683652,0.422889189,0.418480516,0.415324791,0.41330522,0.412325208,0.411835202,0,0,,0.457848601,0.403603369,0.423750222,,1.134402326,,,,,,,,,,,,,,
,28,0,0,0.33267231,0.333192692,0.334233458,0.336349317,0.339606977,0.344093538,0.349905785,0.357140764,0.365866718,0.375937828,0.385727441,0.383200679,0.373170635,0.36434235,0.357180937,0.351527052,0.347225854,0.344147193,0.342176986,0.341220947,0.340742928,0,0,,0.385727441,0.33267231,0.352364876,,1.159481656,,,,,,,,,,,,,,
