time (s)        Na         STDEV
   0.0000000e+00   1.0000000e+02   0.0000000e+00
   5.0000000e-10   9.9962025e+01   1.9235637e-01
   1.0000000e-09   9.9911392e+01   2.8599235e-01
   1.5000000e-09   9.9810127e+01   4.2595140e-01
   2.0000000e-09   9.9746835e+01   4.9272540e-01
   2.5000000e-09   9.9708861e+01   5.1020103e-01
   3.0000000e-09   9.9632911e+01   5.3534593e-01
   3.5000000e-09   9.9556962e+01   5.7170091e-01
   4.0000000e-09   9.9531646e+01   5.7368452e-01
   4.5000000e-09   9.9468354e+01   6.1676250e-01
   5.0000000e-09   9.9354430e+01   6.4127227e-01
   5.5000000e-09   9.9265823e+01   6.9261416e-01
   6.0000000e-09   9.9227848e+01   6.9705180e-01
   6.5000000e-09   9.9126582e+01   7.7405175e-01
   7.0000000e-09   9.9101266e+01   8.1011137e-01
   7.5000000e-09   9.9037975e+01   8.0770390e-01
   8.0000000e-09   9.9000000e+01   8.0064077e-01
   8.5000000e-09   9.8974684e+01   8.1609897e-01
   9.0000000e-09   9.8911392e+01   8.6513484e-01
   9.5000000e-09   9.8848101e+01   9.0707486e-01
   1.0000000e-08   9.8772152e+01   9.6009304e-01
   1.0500000e-08   9.8696203e+01   9.5211546e-01
   1.1000000e-08   9.8632911e+01   1.0022694e+00
   1.1500000e-08   9.8594937e+01   1.0563482e+00
   1.2000000e-08   9.8544304e+01   1.0717523e+00
   1.2500000e-08   9.8455696e+01   1.1299815e+00
   1.3000000e-08   9.8430380e+01   1.1172717e+00
   1.3500000e-08   9.8417722e+01   1.1391359e+00
   1.4000000e-08   9.8303797e+01   1.1805521e+00
   1.4500000e-08   9.8278481e+01   1.2188341e+00
   1.5000000e-08   9.8215190e+01   1.2574994e+00
   1.5500000e-08   9.8164557e+01   1.2652189e+00
   1.6000000e-08   9.8126582e+01   1.3045000e+00
   1.6500000e-08   9.8088608e+01   1.3027572e+00
   1.7000000e-08   9.8050633e+01   1.3387588e+00
   1.7500000e-08   9.8025316e+01   1.3394860e+00
   1.8000000e-08   9.8000000e+01   1.3587324e+00
   1.8500000e-08   9.7873418e+01   1.4708021e+00
   1.9000000e-08   9.7784810e+01   1.5331456e+00
   1.9500000e-08   9.7632911e+01   1.6106792e+00
   2.0000000e-08   9.7544304e+01   1.6392421e+00
   2.0500000e-08   9.7481013e+01   1.7011366e+00
   2.1000000e-08   9.7417722e+01   1.6610747e+00
   2.1500000e-08   9.7392405e+01   1.7053289e+00
   2.2000000e-08   9.7316456e+01   1.7360750e+00
   2.2500000e-08   9.7278481e+01   1.7315823e+00
   2.3000000e-08   9.7202532e+01   1.7930045e+00
   2.3500000e-08   9.7177215e+01   1.8170100e+00
   2.4000000e-08   9.7113924e+01   1.8044627e+00
   2.4500000e-08   9.7037975e+01   1.7934570e+00
   2.5000000e-08   9.7012658e+01   1.8151335e+00
   2.5500000e-08   9.6987342e+01   1.8151335e+00
   2.6000000e-08   9.6949367e+01   1.7895619e+00
   2.6500000e-08   9.6898734e+01   1.8158486e+00
   2.7000000e-08   9.6860759e+01   1.8097611e+00
   2.7500000e-08   9.6835443e+01   1.8146864e+00
   2.8000000e-08   9.6810127e+01   1.8472152e+00
   2.8500000e-08   9.6734177e+01   1.8446656e+00
   2.9000000e-08   9.6683544e+01   1.8983414e+00
   2.9500000e-08   9.6607595e+01   1.9309737e+00
   3.0000000e-08   9.6556962e+01   1.9331576e+00
   3.0500000e-08   9.6455696e+01   1.8932909e+00
   3.1000000e-08   9.6379747e+01   1.8967164e+00
   3.1500000e-08   9.6329114e+01   1.9263458e+00
   3.2000000e-08   9.6291139e+01   1.9158710e+00
   3.2500000e-08   9.6265823e+01   1.9129040e+00
   3.3000000e-08   9.6215190e+01   1.8856468e+00
   3.3500000e-08   9.6151899e+01   1.8611315e+00
   3.4000000e-08   9.6139241e+01   1.8655732e+00
   3.4500000e-08   9.6101266e+01   1.8919190e+00
   3.5000000e-08   9.6037975e+01   1.9044014e+00
   3.5500000e-08   9.6025316e+01   1.9012458e+00
   3.6000000e-08   9.5911392e+01   1.8891721e+00
   3.6500000e-08   9.5860759e+01   1.8860770e+00
   3.7000000e-08   9.5810127e+01   1.9019285e+00
   3.7500000e-08   9.5772152e+01   1.9010750e+00
   3.8000000e-08   9.5721519e+01   1.8462485e+00
   3.8500000e-08   9.5645570e+01   1.9016725e+00
   3.9000000e-08   9.5632911e+01   1.9093375e+00
   3.9500000e-08   9.5594937e+01   1.9116310e+00
   4.0000000e-08   9.5556962e+01   1.9064454e+00
   4.0500000e-08   9.5481013e+01   1.9139217e+00
   4.1000000e-08   9.5443038e+01   1.8997087e+00
   4.1500000e-08   9.5417722e+01   1.9189179e+00
   4.2000000e-08   9.5367089e+01   1.9093375e+00
   4.2500000e-08   9.5303797e+01   1.9437898e+00
   4.3000000e-08   9.5253165e+01   1.9511230e+00
   4.3500000e-08   9.5240506e+01   1.9690893e+00
   4.4000000e-08   9.5240506e+01   1.9690893e+00
   4.4500000e-08   9.5202532e+01   1.9439568e+00
   4.5000000e-08   9.5113924e+01   1.9805939e+00
   4.5500000e-08   9.5063291e+01   1.9699133e+00
   4.6000000e-08   9.5000000e+01   1.9871381e+00
   4.6500000e-08   9.4949367e+01   1.9735347e+00
   4.7000000e-08   9.4936709e+01   1.9828869e+00
   4.7500000e-08   9.4886076e+01   1.9741103e+00
   4.8000000e-08   9.4860759e+01   1.9982953e+00
   4.8500000e-08   9.4835443e+01   2.0027569e+00
   4.9000000e-08   9.4784810e+01   1.9850136e+00
   4.9500000e-08   9.4746835e+01   2.0030000e+00
   5.0000000e-08   9.4721519e+01   2.0123765e+00
   5.0500000e-08   9.4670886e+01   2.0173702e+00
   5.1000000e-08   9.4620253e+01   2.0210672e+00
   5.1500000e-08   9.4544304e+01   2.0556206e+00
   5.2000000e-08   9.4493671e+01   2.0931722e+00
   5.2500000e-08   9.4481013e+01   2.0746378e+00
   5.3000000e-08   9.4430380e+01   2.0673502e+00
   5.3500000e-08   9.4379747e+01   2.1140786e+00
   5.4000000e-08   9.4329114e+01   2.1526461e+00
   5.4500000e-08   9.4291139e+01   2.1492509e+00
   5.5000000e-08   9.4253165e+01   2.1391848e+00
   5.5500000e-08   9.4202532e+01   2.1326506e+00
   5.6000000e-08   9.4177215e+01   2.1409289e+00
   5.6500000e-08   9.4113924e+01   2.1542286e+00
   5.7000000e-08   9.4088608e+01   2.1672970e+00
   5.7500000e-08   9.4050633e+01   2.2008083e+00
   5.8000000e-08   9.3974684e+01   2.2359228e+00
   5.8500000e-08   9.3924051e+01   2.2462056e+00
   5.9000000e-08   9.3860759e+01   2.2630486e+00
   5.9500000e-08   9.3810127e+01   2.2649840e+00
   6.0000000e-08   9.3784810e+01   2.2796248e+00
   6.0500000e-08   9.3746835e+01   2.2784855e+00
   6.1000000e-08   9.3683544e+01   2.2901366e+00
   6.1500000e-08   9.3594937e+01   2.2955866e+00
   6.2000000e-08   9.3531646e+01   2.3305961e+00
   6.2500000e-08   9.3506329e+01   2.3197779e+00
   6.3000000e-08   9.3493671e+01   2.3308050e+00
   6.3500000e-08   9.3455696e+01   2.3739908e+00
   6.4000000e-08   9.3379747e+01   2.3767237e+00
   6.4500000e-08   9.3316456e+01   2.3941398e+00
   6.5000000e-08   9.3303797e+01   2.3931228e+00
   6.5500000e-08   9.3303797e+01   2.3931228e+00
   6.6000000e-08   9.3227848e+01   2.4069843e+00
   6.6500000e-08   9.3215190e+01   2.4001650e+00
   6.7000000e-08   9.3189873e+01   2.3916304e+00
   6.7500000e-08   9.3101266e+01   2.3944109e+00
   6.8000000e-08   9.3075949e+01   2.3846311e+00
   6.8500000e-08   9.3025316e+01   2.4283300e+00
   6.9000000e-08   9.2974684e+01   2.4124394e+00
   6.9500000e-08   9.2911392e+01   2.4029356e+00
   7.0000000e-08   9.2898734e+01   2.4104204e+00
   7.0500000e-08   9.2860759e+01   2.4480980e+00
   7.1000000e-08   9.2784810e+01   2.4995943e+00
   7.1500000e-08   9.2746835e+01   2.5291549e+00
   7.2000000e-08   9.2708861e+01   2.5275502e+00
   7.2500000e-08   9.2670886e+01   2.5151924e+00
   7.3000000e-08   9.2569620e+01   2.6002147e+00
   7.3500000e-08   9.2531646e+01   2.6254936e+00
   7.4000000e-08   9.2506329e+01   2.6109897e+00
   7.4500000e-08   9.2468354e+01   2.6058880e+00
   7.5000000e-08   9.2405063e+01   2.6190573e+00
   7.5500000e-08   9.2329114e+01   2.5806058e+00
   7.6000000e-08   9.2278481e+01   2.5915875e+00
   7.6500000e-08   9.2202532e+01   2.6908189e+00
   7.7000000e-08   9.2177215e+01   2.6830880e+00
   7.7500000e-08   9.2139241e+01   2.6829671e+00
   7.8000000e-08   9.2063291e+01   2.7237878e+00
   7.8500000e-08   9.1987342e+01   2.7618912e+00
   7.9000000e-08   9.1949367e+01   2.7591281e+00
   7.9500000e-08   9.1924051e+01   2.7538884e+00
   8.0000000e-08   9.1860759e+01   2.8044570e+00
   8.0500000e-08   9.1860759e+01   2.8044570e+00
   8.1000000e-08   9.1810127e+01   2.8196924e+00
   8.1500000e-08   9.1784810e+01   2.8405077e+00
   8.2000000e-08   9.1772152e+01   2.8552667e+00
   8.2500000e-08   9.1759494e+01   2.8339299e+00
   8.3000000e-08   9.1746835e+01   2.8350750e+00
   8.3500000e-08   9.1721519e+01   2.8417073e+00
   8.4000000e-08   9.1670886e+01   2.8632128e+00
   8.4500000e-08   9.1632911e+01   2.8337581e+00
   8.5000000e-08   9.1569620e+01   2.8360479e+00
   8.5500000e-08   9.1556962e+01   2.8543572e+00
   8.6000000e-08   9.1531646e+01   2.8726627e+00
   8.6500000e-08   9.1481013e+01   2.8816874e+00
   8.7000000e-08   9.1481013e+01   2.8816874e+00
   8.7500000e-08   9.1455696e+01   2.9079796e+00
   8.8000000e-08   9.1405063e+01   2.8801664e+00
   8.8500000e-08   9.1303797e+01   2.8749780e+00
   8.9000000e-08   9.1278481e+01   2.8909084e+00
   8.9500000e-08   9.1215190e+01   2.9250066e+00
   9.0000000e-08   9.1177215e+01   2.9559132e+00
   9.0500000e-08   9.1101266e+01   2.9768118e+00
   9.1000000e-08   9.1063291e+01   2.9670920e+00
   9.1500000e-08   9.0974684e+01   2.9741393e+00
   9.2000000e-08   9.0936709e+01   2.9929052e+00
   9.2500000e-08   9.0936709e+01   2.9929052e+00
   9.3000000e-08   9.0886076e+01   2.9913865e+00
   9.3500000e-08   9.0848101e+01   3.0174221e+00
   9.4000000e-08   9.0797468e+01   3.0398201e+00
   9.4500000e-08   9.0759494e+01   3.0475513e+00
   9.5000000e-08   9.0683544e+01   3.0531375e+00
   9.5500000e-08   9.0683544e+01   3.0531375e+00
   9.6000000e-08   9.0632911e+01   3.0431816e+00
   9.6500000e-08   9.0556962e+01   3.0623723e+00
   9.7000000e-08   9.0518987e+01   3.0795469e+00
   9.7500000e-08   9.0493671e+01   3.0670851e+00
   9.8000000e-08   9.0443038e+01   3.0873889e+00
   9.8500000e-08   9.0392405e+01   3.1395644e+00
   9.9000000e-08   9.0367089e+01   3.1385821e+00
   9.9500000e-08   9.0329114e+01   3.1530267e+00
   1.0000000e-07   9.0291139e+01   3.1750304e+00
   1.0050000e-07   9.0227848e+01   3.2223155e+00
   1.0100000e-07   9.0202532e+01   3.2477990e+00
   1.0150000e-07   9.0151899e+01   3.2505960e+00
   1.0200000e-07   9.0088608e+01   3.2272473e+00
   1.0250000e-07   8.9962025e+01   3.2598688e+00
   1.0300000e-07   8.9924051e+01   3.2216103e+00
   1.0350000e-07   8.9911392e+01   3.2272473e+00
   1.0400000e-07   8.9835443e+01   3.2519437e+00
   1.0450000e-07   8.9772152e+01   3.2183344e+00
   1.0500000e-07   8.9746835e+01   3.2124292e+00
   1.0550000e-07   8.9708861e+01   3.2310667e+00
   1.0600000e-07   8.9670886e+01   3.2451997e+00
   1.0650000e-07   8.9620253e+01   3.2514446e+00
   1.0700000e-07   8.9556962e+01   3.2649924e+00
   1.0750000e-07   8.9506329e+01   3.2497472e+00
   1.0800000e-07   8.9468354e+01   3.2218622e+00
   1.0850000e-07   8.9455696e+01   3.2256880e+00
   1.0900000e-07   8.9430380e+01   3.2489980e+00
   1.0950000e-07   8.9379747e+01   3.2514446e+00
   1.1000000e-07   8.9329114e+01   3.2293586e+00
   1.1050000e-07   8.9329114e+01   3.2293586e+00
   1.1100000e-07   8.9265823e+01   3.1651502e+00
   1.1150000e-07   8.9215190e+01   3.1730875e+00
   1.1200000e-07   8.9177215e+01   3.1327857e+00
   1.1250000e-07   8.9139241e+01   3.1408564e+00
   1.1300000e-07   8.9063291e+01   3.1105353e+00
   1.1350000e-07   8.9037975e+01   3.1068289e+00
   1.1400000e-07   8.9012658e+01   3.1193921e+00
   1.1450000e-07   8.9012658e+01   3.1193921e+00
   1.1500000e-07   8.8974684e+01   3.1499885e+00
   1.1550000e-07   8.8962025e+01   3.1842684e+00
   1.1600000e-07   8.8924051e+01   3.1815661e+00
   1.1650000e-07   8.8860759e+01   3.2294088e+00
   1.1700000e-07   8.8797468e+01   3.2831338e+00
   1.1750000e-07   8.8759494e+01   3.2431988e+00
   1.1800000e-07   8.8658228e+01   3.2061083e+00
   1.1850000e-07   8.8632911e+01   3.1751326e+00
   1.1900000e-07   8.8582278e+01   3.2169726e+00
   1.1950000e-07   8.8518987e+01   3.2338782e+00
   1.2000000e-07   8.8506329e+01   3.2378903e+00
   1.2050000e-07   8.8455696e+01   3.2217111e+00
   1.2100000e-07   8.8443038e+01   3.2254868e+00
   1.2150000e-07   8.8430380e+01   3.2489980e+00
   1.2200000e-07   8.8405063e+01   3.2443995e+00
   1.2250000e-07   8.8379747e+01   3.2435490e+00
   1.2300000e-07   8.8354430e+01   3.2266438e+00
   1.2350000e-07   8.8316456e+01   3.2087393e+00
   1.2400000e-07   8.8253165e+01   3.2084358e+00
   1.2450000e-07   8.8240506e+01   3.1954101e+00
   1.2500000e-07   8.8227848e+01   3.2063613e+00
   1.2550000e-07   8.8215190e+01   3.2052476e+00
   1.2600000e-07   8.8189873e+01   3.2028671e+00
   1.2650000e-07   8.8177215e+01   3.2255371e+00
   1.2700000e-07   8.8101266e+01   3.2288560e+00
   1.2750000e-07   8.8075949e+01   3.2493477e+00
   1.2800000e-07   8.8050633e+01   3.2537896e+00
   1.2850000e-07   8.7974684e+01   3.2461997e+00
   1.2900000e-07   8.7949367e+01   3.2300621e+00
   1.2950000e-07   8.7911392e+01   3.1993183e+00
   1.3000000e-07   8.7911392e+01   3.1993183e+00
   1.3050000e-07   8.7873418e+01   3.1758992e+00
   1.3100000e-07   8.7835443e+01   3.2122776e+00
   1.3150000e-07   8.7797468e+01   3.2319707e+00
   1.3200000e-07   8.7759494e+01   3.2352830e+00
   1.3250000e-07   8.7708861e+01   3.2508456e+00
   1.3300000e-07   8.7683544e+01   3.2876783e+00
   1.3350000e-07   8.7620253e+01   3.2553853e+00
   1.3400000e-07   8.7531646e+01   3.3121201e+00
   1.3450000e-07   8.7506329e+01   3.2967483e+00
   1.3500000e-07   8.7493671e+01   3.2967483e+00
   1.3550000e-07   8.7443038e+01   3.3079036e+00
   1.3600000e-07   8.7443038e+01   3.3079036e+00
   1.3650000e-07   8.7405063e+01   3.3147649e+00
   1.3700000e-07   8.7379747e+01   3.3216608e+00
   1.3750000e-07   8.7354430e+01   3.3321971e+00
   1.3800000e-07   8.7316456e+01   3.3071186e+00
   1.3850000e-07   8.7265823e+01   3.3577651e+00
   1.3900000e-07   8.7227848e+01   3.3739172e+00
   1.3950000e-07   8.7189873e+01   3.3667909e+00
   1.4000000e-07   8.7139241e+01   3.3654892e+00
   1.4050000e-07   8.7113924e+01   3.3778591e+00
   1.4100000e-07   8.7101266e+01   3.3687666e+00
   1.4150000e-07   8.7075949e+01   3.3656338e+00
   1.4200000e-07   8.7025316e+01   3.3816044e+00
   1.4250000e-07   8.7025316e+01   3.3816044e+00
   1.4300000e-07   8.7000000e+01   3.3892742e+00
   1.4350000e-07   8.6949367e+01   3.4152701e+00
   1.4400000e-07   8.6924051e+01   3.3997442e+00
   1.4450000e-07   8.6886076e+01   3.4118472e+00
   1.4500000e-07   8.6835443e+01   3.3719445e+00
   1.4550000e-07   8.6810127e+01   3.3667909e+00
   1.4600000e-07   8.6759494e+01   3.3749271e+00
   1.4650000e-07   8.6708861e+01   3.4237178e+00
   1.4700000e-07   8.6683544e+01   3.4475718e+00
   1.4750000e-07   8.6607595e+01   3.4693446e+00
   1.4800000e-07   8.6582278e+01   3.4329011e+00
   1.4850000e-07   8.6556962e+01   3.4109433e+00
   1.4900000e-07   8.6531646e+01   3.4112763e+00
   1.4950000e-07   8.6493671e+01   3.4001260e+00
   1.5000000e-07   8.6417722e+01   3.4552361e+00
   1.5050000e-07   8.6405063e+01   3.4437568e+00
   1.5100000e-07   8.6354430e+01   3.4494071e+00
   1.5150000e-07   8.6341772e+01   3.4451232e+00
   1.5200000e-07   8.6316456e+01   3.4735052e+00
   1.5250000e-07   8.6316456e+01   3.4735052e+00
   1.5300000e-07   8.6291139e+01   3.4535448e+00
   1.5350000e-07   8.6291139e+01   3.4535448e+00
   1.5400000e-07   8.6240506e+01   3.4870279e+00
   1.5450000e-07   8.6215190e+01   3.4997102e+00
   1.5500000e-07   8.6177215e+01   3.4779875e+00
   1.5550000e-07   8.6126582e+01   3.4985971e+00
   1.5600000e-07   8.6101266e+01   3.5249839e+00
   1.5650000e-07   8.6000000e+01   3.5841532e+00
   1.5700000e-07   8.5987342e+01   3.5715890e+00
   1.5750000e-07   8.5962025e+01   3.5893112e+00
   1.5800000e-07   8.5898734e+01   3.6289256e+00
   1.5850000e-07   8.5860759e+01   3.6152603e+00
   1.5900000e-07   8.5860759e+01   3.6152603e+00
   1.5950000e-07   8.5835443e+01   3.6177284e+00
   1.6000000e-07   8.5759494e+01   3.6311162e+00
   1.6050000e-07   8.5708861e+01   3.6238239e+00
   1.6100000e-07   8.5658228e+01   3.6651025e+00
   1.6150000e-07   8.5620253e+01   3.6770382e+00
   1.6200000e-07   8.5594937e+01   3.6951770e+00
   1.6250000e-07   8.5518987e+01   3.7718959e+00
