0 1000	1000	1000	1000	1000
0.1 1000	1000	999	1000	1000
0.2 999	1000	999	999	1000
0.3 999	999	999	997	999
0.4 999	998	999	997	998
0.5 998	998	999	995	996
0.6 997	998	999	995	994
0.7 997	998	999	992	992
0.8 997	998	999	991	990
0.9 997	998	999	990	989
1 997	998	999	990	989
1.1 997	998	997	990	988
1.2 996	998	997	989	988
1.3 996	997	996	989	988
1.4 996	996	995	986	988
1.5 993	996	994	985	988
1.6 992	995	994	984	988
1.7 992	995	994	984	987
1.8 992	994	994	982	987
1.9 992	994	993	982	986
2 991	993	992	982	983
2.1 991	993	991	981	983
2.2 991	992	991	981	983
2.3 989	992	990	980	983
2.4 988	991	989	978	982
2.5 988	991	989	978	982
2.6 987	991	989	976	982
2.7 986	991	989	976	981
2.8 985	991	989	975	980
2.9 985	991	989	975	979
3 983	991	988	975	979
3.1 983	989	987	974	979
3.2 983	988	987	973	978
3.3 982	988	987	973	978
3.4 982	988	986	970	978
3.5 982	988	986	970	978
3.6 982	988	985	970	977
3.7 980	988	985	970	977
3.8 980	988	984	970	977
3.9 979	988	984	970	977
4 979	987	984	969	977
4.1 979	986	984	969	976
4.2 979	986	984	969	975
4.3 977	986	983	968	973
4.4 976	986	983	965	973
4.5 976	986	982	964	973
4.6 976	986	981	963	972
4.7 974	986	980	963	972
4.8 973	985	979	962	972
4.9 973	985	979	961	971
5 971	984	979	960	970
5.1 971	984	979	960	967
5.2 971	983	979	960	966
5.3 971	982	978	960	965
5.4 971	982	976	959	964
5.5 971	981	976	959	964
5.6 971	981	976	957	964
5.7 971	981	976	957	964
5.8 971	981	975	957	964
5.9 969	980	975	957	963
6 969	980	975	957	963
6.1 968	980	974	957	963
6.2 968	980	972	956	962
6.3 968	980	972	956	960
6.4 968	979	971	955	960
6.5 968	977	971	955	957
6.6 968	977	971	954	956
6.7 968	976	968	954	955
6.8 968	976	967	954	954
6.9 968	976	967	954	953
7 968	976	966	954	953
7.1 968	974	965	954	953
7.2 967	974	965	954	953
7.3 966	973	965	953	953
7.4 966	973	965	953	951
7.5 966	973	965	952	951
7.6 965	973	965	952	951
7.7 965	973	965	952	950
7.8 965	972	965	952	950
7.9 965	972	964	952	950
8 964	972	964	952	949
8.1 964	972	963	952	948
8.2 964	971	963	952	946
8.3 964	971	963	952	944
8.4 964	971	962	952	944
8.5 964	971	962	952	944
8.6 963	971	961	951	944
8.7 963	970	961	951	944
8.8 963	970	960	951	943
8.9 962	968	960	951	941
9 962	967	960	950	941
9.1 962	967	960	950	941
9.2 962	967	960	950	941
9.3 961	967	960	949	941
9.4 960	967	960	949	940
9.5 960	966	959	948	940
9.6 957	965	959	948	940
9.7 957	965	959	948	939
9.8 957	964	959	948	939
9.9 956	964	958	948	938
10 956	963	958	948	937
