	time (s)  copyNums
   0.0000000e+00   1.0000000e+03
   1.0000000e-07   9.9975000e+02
   2.0000000e-07   9.9925000e+02
   3.0000000e-07   9.9850000e+02
   4.0000000e-07   9.9825000e+02
   5.0000000e-07   9.9750000e+02
   6.0000000e-07   9.9725000e+02
   7.0000000e-07   9.9650000e+02
   8.0000000e-07   9.9625000e+02
   9.0000000e-07   9.9600000e+02
   1.0000000e-06   9.9600000e+02
   1.1000000e-06   9.9550000e+02
   1.2000000e-06   9.9500000e+02
   1.3000000e-06   9.9450000e+02
   1.4000000e-06   9.9325000e+02
   1.5000000e-06   9.9200000e+02
   1.6000000e-06   9.9125000e+02
   1.7000000e-06   9.9125000e+02
   1.8000000e-06   9.9050000e+02
   1.9000000e-06   9.9025000e+02
   2.0000000e-06   9.8950000e+02
   2.1000000e-06   9.8900000e+02
   2.2000000e-06   9.8875000e+02
   2.3000000e-06   9.8775000e+02
   2.4000000e-06   9.8650000e+02
   2.5000000e-06   9.8650000e+02
   2.6000000e-06   9.8575000e+02
   2.7000000e-06   9.8550000e+02
   2.8000000e-06   9.8500000e+02
   2.9000000e-06   9.8500000e+02
   3.0000000e-06   9.8425000e+02
   3.1000000e-06   9.8325000e+02
   3.2000000e-06   9.8275000e+02
   3.3000000e-06   9.8250000e+02
   3.4000000e-06   9.8150000e+02
   3.5000000e-06   9.8150000e+02
   3.6000000e-06   9.8125000e+02
   3.7000000e-06   9.8075000e+02
   3.8000000e-06   9.8050000e+02
   3.9000000e-06   9.8025000e+02
   4.0000000e-06   9.7975000e+02
   4.1000000e-06   9.7950000e+02
   4.2000000e-06   9.7950000e+02
   4.3000000e-06   9.7850000e+02
   4.4000000e-06   9.7750000e+02
   4.5000000e-06   9.7700000e+02
   4.6000000e-06   9.7650000e+02
   4.7000000e-06   9.7575000e+02
   4.8000000e-06   9.7475000e+02
   4.9000000e-06   9.7450000e+02
   5.0000000e-06   9.7350000e+02
   5.1000000e-06   9.7350000e+02
   5.2000000e-06   9.7325000e+02
   5.3000000e-06   9.7275000e+02
   5.4000000e-06   9.7200000e+02
   5.5000000e-06   9.7175000e+02
   5.6000000e-06   9.7125000e+02
   5.7000000e-06   9.7125000e+02
   5.8000000e-06   9.7100000e+02
   5.9000000e-06   9.7025000e+02
   6.0000000e-06   9.7025000e+02
   6.1000000e-06   9.6975000e+02
   6.2000000e-06   9.6900000e+02
   6.3000000e-06   9.6900000e+02
   6.4000000e-06   9.6825000e+02
   6.5000000e-06   9.6775000e+02
   6.6000000e-06   9.6750000e+02
   6.7000000e-06   9.6650000e+02
   6.8000000e-06   9.6625000e+02
   6.9000000e-06   9.6625000e+02
   7.0000000e-06   9.6600000e+02
   7.1000000e-06   9.6525000e+02
   7.2000000e-06   9.6500000e+02
   7.3000000e-06   9.6425000e+02
   7.4000000e-06   9.6425000e+02
   7.5000000e-06   9.6400000e+02
   7.6000000e-06   9.6375000e+02
   7.7000000e-06   9.6375000e+02
   7.8000000e-06   9.6350000e+02
   7.9000000e-06   9.6325000e+02
   8.0000000e-06   9.6300000e+02
   8.1000000e-06   9.6275000e+02
   8.2000000e-06   9.6250000e+02
   8.3000000e-06   9.6250000e+02
   8.4000000e-06   9.6225000e+02
   8.5000000e-06   9.6225000e+02
   8.6000000e-06   9.6150000e+02
   8.7000000e-06   9.6125000e+02
   8.8000000e-06   9.6100000e+02
   8.9000000e-06   9.6025000e+02
   9.0000000e-06   9.5975000e+02
   9.1000000e-06   9.5975000e+02
   9.2000000e-06   9.5975000e+02
   9.3000000e-06   9.5925000e+02
   9.4000000e-06   9.5900000e+02
   9.5000000e-06   9.5825000e+02
   9.6000000e-06   9.5725000e+02
   9.7000000e-06   9.5725000e+02
   9.8000000e-06   9.5700000e+02
   9.9000000e-06   9.5650000e+02
   1.0000000e-05   9.5625000e+02
