   time(s)         CopyNums
   1.0000000e-09   1.0000000e+03
   1.0472252e-09   9.9999955e+02
   1.0966806e-09   9.9999907e+02
   1.1484715e-09   9.9999857e+02
   1.2027083e-09   9.9999805e+02
   1.2595065e-09   9.9999751e+02
   1.3189869e-09   9.9999694e+02
   1.3812763e-09   9.9999635e+02
   1.4465073e-09   9.9999572e+02
   1.5148189e-09   9.9999507e+02
   1.5863565e-09   9.9999439e+02
   1.6612725e-09   9.9999368e+02
   1.7397264e-09   9.9999293e+02
   1.8218853e-09   9.9999215e+02
   1.9079242e-09   9.9999134e+02
   1.9980263e-09   9.9999048e+02
   2.0923835e-09   9.9998959e+02
   2.1911967e-09   9.9998865e+02
   2.2946764e-09   9.9998768e+02
   2.4030429e-09   9.9998666e+02
   2.5165271e-09   9.9998559e+02
   2.6353705e-09   9.9998449e+02
   2.7598264e-09   9.9998333e+02
   2.8901597e-09   9.9998212e+02
   3.0266481e-09   9.9998085e+02
   3.1695821e-09   9.9997952e+02
   3.3192662e-09   9.9997813e+02
   3.4760192e-09   9.9997668e+02
   3.6401748e-09   9.9997516e+02
   3.8120828e-09   9.9997357e+02
   3.9921091e-09   9.9997190e+02
   4.1806372e-09   9.9997016e+02
   4.3780686e-09   9.9996834e+02
   4.5848238e-09   9.9996644e+02
   4.8013429e-09   9.9996444e+02
   5.0280873e-09   9.9996236e+02
   5.2655396e-09   9.9996018e+02
   5.5142057e-09   9.9995790e+02
   5.7746152e-09   9.9995552e+02
   6.0473224e-09   9.9995303e+02
   6.3329084e-09   9.9995042e+02
   6.6319812e-09   9.9994769e+02
   6.9451778e-09   9.9994485e+02
   7.2731651e-09   9.9994187e+02
   7.6166417e-09   9.9993876e+02
   7.9763391e-09   9.9993550e+02
   8.3530232e-09   9.9993210e+02
   8.7474963e-09   9.9992869e+02
   9.1605985e-09   9.9992512e+02
   9.5932095e-09   9.9992138e+02
   1.0046251e-08   9.9991747e+02
   1.0520687e-08   9.9991337e+02
   1.1017528e-08   9.9990909e+02
   1.1537833e-08   9.9990461e+02
   1.2082709e-08   9.9989992e+02
   1.2653318e-08   9.9989502e+02
   1.3250873e-08   9.9988988e+02
   1.3876648e-08   9.9988451e+02
   1.4531975e-08   9.9987889e+02
   1.5218251e-08   9.9987301e+02
   1.5936935e-08   9.9986687e+02
   1.6689560e-08   9.9986043e+02
   1.7477728e-08   9.9985371e+02
   1.8303117e-08   9.9984667e+02
   1.9167485e-08   9.9983931e+02
   2.0072673e-08   9.9983162e+02
   2.1020609e-08   9.9982357e+02
   2.2013311e-08   9.9981516e+02
   2.3052894e-08   9.9980636e+02
   2.4141571e-08   9.9979717e+02
   2.5281661e-08   9.9978755e+02
   2.6475593e-08   9.9977750e+02
   2.7725908e-08   9.9976700e+02
   2.9035269e-08   9.9975602e+02
   3.0406465e-08   9.9974455e+02
   3.1842416e-08   9.9973257e+02
   3.3346180e-08   9.9972005e+02
   3.4920960e-08   9.9970697e+02
   3.6570109e-08   9.9969331e+02
   3.8297139e-08   9.9967940e+02
   4.0105729e-08   9.9966606e+02
   4.1999729e-08   9.9965209e+02
   4.3983175e-08   9.9963747e+02
   4.6060288e-08   9.9962216e+02
   4.8235494e-08   9.9960614e+02
   5.0513425e-08   9.9958937e+02
   5.2898931e-08   9.9957182e+02
   5.5397093e-08   9.9955344e+02
   5.8013231e-08   9.9953421e+02
   6.0752917e-08   9.9951408e+02
   6.3621985e-08   9.9949301e+02
   6.6626545e-08   9.9947096e+02
   6.9772996e-08   9.9944789e+02
   7.3068040e-08   9.9942374e+02
   7.6518692e-08   9.9939846e+02
   8.0132301e-08   9.9937201e+02
   8.3916564e-08   9.9934434e+02
   8.7879540e-08   9.9931538e+02
   9.2029668e-08   9.9928507e+02
   9.6375787e-08   9.9925336e+02
   1.0092715e-07   9.9922019e+02
   1.0569346e-07   9.9918548e+02
   1.1068485e-07   9.9914917e+02
   1.1591196e-07   9.9911118e+02
   1.2138593e-07   9.9907145e+02
   1.2711840e-07   9.9902988e+02
   1.3312159e-07   9.9898640e+02
   1.3940828e-07   9.9894093e+02
   1.4599187e-07   9.9889337e+02
   1.5288636e-07   9.9884364e+02
   1.6010645e-07   9.9879163e+02
   1.6766750e-07   9.9873726e+02
   1.7558563e-07   9.9868040e+02
   1.8387770e-07   9.9862096e+02
   1.9256136e-07   9.9856622e+02
   2.0165510e-07   9.9851068e+02
   2.1117830e-07   9.9845256e+02
   2.2115124e-07   9.9839175e+02
   2.3159515e-07   9.9832812e+02
   2.4253227e-07   9.9826155e+02
   2.5398591e-07   9.9819189e+02
   2.6598044e-07   9.9811902e+02
   2.7854142e-07   9.9804279e+02
   2.9169559e-07   9.9796304e+02
   3.0547097e-07   9.9787963e+02
   3.1989689e-07   9.9779237e+02
   3.3500408e-07   9.9770111e+02
   3.5082471e-07   9.9760567e+02
   3.6739248e-07   9.9750586e+02
   3.8474266e-07   9.9740148e+02
   4.0291220e-07   9.9729234e+02
   4.2193981e-07   9.9717823e+02
   4.4186600e-07   9.9705892e+02
   4.6273320e-07   9.9693420e+02
   4.8458586e-07   9.9680383e+02
   5.0747052e-07   9.9666757e+02
   5.3143592e-07   9.9652515e+02
   5.5653308e-07   9.9637633e+02
   5.8281546e-07   9.9622082e+02
   6.1033903e-07   9.9605835e+02
   6.3916241e-07   9.9588862e+02
   6.6934697e-07   9.9571134e+02
   7.0095701e-07   9.9552618e+02
   7.3405984e-07   9.9533282e+02
