	time (s)    traj1		traj2		traj3		traj4		traj5
   0.0000000e+00   6.0200000e+02   6.0200000e+02   6.0200000e+02   6.0200000e+02   6.0200000e+02
   1.0000000e-07   6.0000000e+02   6.0200000e+02   6.0200000e+02   6.0200000e+02   6.0100000e+02
   2.0000000e-07   5.9900000e+02   6.0200000e+02   6.0200000e+02   6.0200000e+02   6.0100000e+02
   3.0000000e-07   5.9900000e+02   6.0200000e+02   6.0100000e+02   6.0200000e+02   6.0100000e+02
   4.0000000e-07   5.9900000e+02   6.0200000e+02   5.9900000e+02   6.0200000e+02   6.0100000e+02
   5.0000000e-07   5.9900000e+02   6.0100000e+02   5.9900000e+02   6.0100000e+02   6.0100000e+02
   6.0000000e-07   5.9800000e+02   6.0100000e+02   5.9900000e+02   6.0100000e+02   6.0100000e+02
   7.0000000e-07   5.9800000e+02   6.0100000e+02   5.9900000e+02   6.0100000e+02   6.0000000e+02
   8.0000000e-07   5.9800000e+02   6.0100000e+02   5.9900000e+02   6.0100000e+02   6.0000000e+02
   9.0000000e-07   5.9700000e+02   6.0000000e+02   5.9900000e+02   6.0100000e+02   6.0000000e+02
   1.0000000e-06   5.9700000e+02   5.9900000e+02   5.9900000e+02   6.0100000e+02   6.0000000e+02
   1.1000000e-06   5.9600000e+02   5.9900000e+02   5.9900000e+02   6.0100000e+02   6.0000000e+02
   1.2000000e-06   5.9600000e+02   5.9900000e+02   5.9900000e+02   6.0100000e+02   5.9800000e+02
   1.3000000e-06   5.9600000e+02   5.9900000e+02   5.9900000e+02   6.0100000e+02   5.9800000e+02
   1.4000000e-06   5.9500000e+02   5.9900000e+02   5.9900000e+02   6.0100000e+02   5.9800000e+02
   1.5000000e-06   5.9500000e+02   5.9900000e+02   5.9900000e+02   6.0100000e+02   5.9800000e+02
   1.6000000e-06   5.9500000e+02   5.9900000e+02   5.9800000e+02   6.0100000e+02   5.9800000e+02
   1.7000000e-06   5.9400000e+02   5.9900000e+02   5.9800000e+02   6.0100000e+02   5.9800000e+02
   1.8000000e-06   5.9400000e+02   5.9800000e+02   5.9500000e+02   6.0100000e+02   5.9800000e+02
   1.9000000e-06   5.9400000e+02   5.9700000e+02   5.9500000e+02   6.0100000e+02   5.9700000e+02
   2.0000000e-06   5.9300000e+02   5.9600000e+02   5.9500000e+02   6.0100000e+02   5.9700000e+02
   2.1000000e-06   5.9200000e+02   5.9600000e+02   5.9500000e+02   6.0100000e+02   5.9700000e+02
   2.2000000e-06   5.9200000e+02   5.9600000e+02   5.9500000e+02   6.0100000e+02   5.9700000e+02
   2.3000000e-06   5.9200000e+02   5.9600000e+02   5.9500000e+02   6.0100000e+02   5.9600000e+02
   2.4000000e-06   5.9200000e+02   5.9600000e+02   5.9500000e+02   6.0100000e+02   5.9600000e+02
   2.5000000e-06   5.9200000e+02   5.9600000e+02   5.9500000e+02   6.0100000e+02   5.9600000e+02
   2.6000000e-06   5.9200000e+02   5.9600000e+02   5.9500000e+02   6.0100000e+02   5.9600000e+02
