     time (s)       traj1:dt1e-7     traj2:dt1e-7     traj3:dt1e-8    traj4:dt1e-8
   0.0000000e+00   6.0200000e+02   6.0200000e+02   6.0200000e+02   6.0200000e+02
   2.0000000e-06   5.9414356e+02   5.9929641e+02   5.9916038e+02   5.9814103e+02
   4.0000000e-06   5.9316150e+02   5.9749401e+02   5.9537421e+02   5.9428205e+02
   6.0000000e-06   5.9217945e+02   5.9659281e+02   5.9253459e+02   5.9331731e+02
   8.0000000e-06   5.9119739e+02   5.9388922e+02   5.9064151e+02   5.9138782e+02
   1.0000000e-05   5.9119739e+02   5.9118563e+02   5.8969497e+02   5.8656410e+02
   1.2000000e-05   5.9119739e+02   5.8938323e+02   5.8590881e+02   5.8559936e+02
   1.4000000e-05   5.8726917e+02   5.8667964e+02   5.8401572e+02   5.8366987e+02
   1.6000000e-05   5.8628711e+02   5.8217365e+02   5.8401572e+02   5.8077564e+02
   1.8000000e-05   5.8137684e+02   5.8037126e+02   5.8401572e+02   5.7884615e+02
   2.0000000e-05   5.7352039e+02   5.7676647e+02   5.8117610e+02   5.7305769e+02
   2.2000000e-05   5.7155628e+02   5.7586527e+02   5.8117610e+02   5.7209295e+02
   2.4000000e-05   5.7057423e+02   5.7406287e+02   5.7738994e+02   5.7112821e+02
   2.6000000e-05   5.6468189e+02   5.7045808e+02   5.7455031e+02   5.6823397e+02
   2.8000000e-05   5.6271778e+02   5.6595210e+02   5.7171069e+02   5.6630449e+02
   3.0000000e-05   5.6075367e+02   5.6324850e+02   5.6697799e+02   5.6533974e+02
   3.2000000e-05   5.5780750e+02   5.6144611e+02   5.6129874e+02   5.6341026e+02
   3.4000000e-05   5.5682545e+02   5.5784132e+02   5.5845912e+02   5.6051603e+02
   3.6000000e-05   5.5584339e+02   5.5513772e+02   5.5467296e+02   5.5762179e+02
   3.8000000e-05   5.5387928e+02   5.5423653e+02   5.5183333e+02   5.5665705e+02
   4.0000000e-05   5.5093312e+02   5.5063174e+02   5.4994025e+02   5.5472756e+02
   4.2000000e-05   5.4995106e+02   5.4882934e+02   5.4615409e+02   5.5376282e+02
   4.4000000e-05   5.4700489e+02   5.4522455e+02   5.4520755e+02   5.5183333e+02
   4.6000000e-05   5.4602284e+02   5.4252096e+02   5.4520755e+02   5.4990385e+02
   4.8000000e-05   5.4504078e+02   5.3801497e+02   5.4426101e+02   5.4700962e+02
   5.0000000e-05   5.4111256e+02   5.3801497e+02   5.4236792e+02   5.4508013e+02
   5.2000000e-05   5.3718434e+02   5.3441018e+02   5.3952830e+02   5.4411538e+02
   5.4000000e-05   5.3620228e+02   5.3260778e+02   5.3858176e+02   5.4411538e+02
   5.6000000e-05   5.3227406e+02   5.3170659e+02   5.3763522e+02   5.3929167e+02
   5.8000000e-05   5.3030995e+02   5.2900299e+02   5.3574214e+02   5.3736218e+02
   6.0000000e-05   5.3030995e+02   5.2810180e+02   5.3574214e+02   5.3350321e+02
   6.2000000e-05   5.2736378e+02   5.2539820e+02   5.3384906e+02   5.3060897e+02
   6.4000000e-05   5.2638173e+02   5.2449701e+02   5.3384906e+02   5.2964423e+02
   6.6000000e-05   5.2343556e+02   5.2179341e+02   5.3195597e+02   5.2867949e+02
   6.8000000e-05   5.2343556e+02   5.2089222e+02   5.2911635e+02   5.2771474e+02
   7.0000000e-05   5.2048940e+02   5.1999102e+02   5.2533019e+02   5.2578526e+02
   7.2000000e-05   5.1950734e+02   5.1728743e+02   5.2343711e+02   5.2482051e+02
   7.4000000e-05   5.1754323e+02   5.1368263e+02   5.2249057e+02   5.2289103e+02
   7.6000000e-05   5.1361501e+02   5.1278144e+02   5.2154403e+02   5.2096154e+02
   7.8000000e-05   5.1263295e+02   5.1188024e+02   5.1965094e+02   5.1903205e+02
   8.0000000e-05   5.1165090e+02   5.1097904e+02   5.1586478e+02   5.1710256e+02
   8.2000000e-05   5.1066884e+02   5.1097904e+02   5.1491824e+02   5.1517308e+02
   8.4000000e-05   5.1066884e+02   5.0917665e+02   5.1397170e+02   5.1324359e+02
   8.6000000e-05   5.0575856e+02   5.0827545e+02   5.1397170e+02   5.1034936e+02
   8.8000000e-05   5.0477651e+02   5.0827545e+02   5.1207862e+02   5.0938462e+02
   9.0000000e-05   5.0379445e+02   5.0467066e+02   5.1113208e+02   5.0938462e+02
   9.2000000e-05   5.0379445e+02   5.0286826e+02   5.1018553e+02   5.0938462e+02
   9.4000000e-05   5.0183034e+02   5.0196707e+02   5.0639937e+02   5.0745513e+02
   9.6000000e-05   4.9986623e+02   5.0196707e+02   5.0545283e+02   5.0552564e+02
   9.8000000e-05   4.9888418e+02   5.0106587e+02   5.0166667e+02   5.0359615e+02
   1.0000000e-04   4.9790212e+02   5.0016467e+02   5.0166667e+02   5.0263141e+02
   1.0200000e-04   4.9692007e+02   5.0016467e+02   4.9882704e+02   5.0166667e+02
   1.0400000e-04   4.9692007e+02   4.9836228e+02   4.9788050e+02   5.0070192e+02
   1.0600000e-04   4.9200979e+02   4.9836228e+02   4.9693396e+02   4.9973718e+02
   1.0800000e-04   4.8906362e+02   4.9836228e+02   4.9693396e+02   4.9780769e+02
   1.1000000e-04   4.8906362e+02   4.9655988e+02   4.9693396e+02   4.9587821e+02
   1.1200000e-04   4.8611746e+02   4.9655988e+02   4.9693396e+02   4.9491346e+02
   1.1400000e-04   4.8415334e+02   4.9655988e+02   4.9598742e+02   4.9201923e+02
   1.1600000e-04   4.7924307e+02   4.9475749e+02   4.9504088e+02   4.9201923e+02
   1.1800000e-04   4.7826101e+02   4.9295509e+02   4.9504088e+02   4.9008974e+02
   1.2000000e-04   4.7727896e+02   4.9205389e+02   4.9314780e+02   4.9008974e+02
   1.2200000e-04   4.7629690e+02   4.9205389e+02   4.9030818e+02   4.8816026e+02
   1.2400000e-04   4.7531485e+02   4.8935030e+02   4.8841509e+02   4.8623077e+02
   1.2600000e-04   4.7433279e+02   4.8574551e+02   4.8746855e+02   4.8430128e+02
   1.2800000e-04   4.7335073e+02   4.8484431e+02   4.8557547e+02   4.8140705e+02
   1.3000000e-04   4.7236868e+02   4.8304192e+02   4.8368239e+02   4.8044231e+02
   1.3200000e-04   4.7040457e+02   4.8033832e+02   4.8368239e+02   4.7947756e+02
   1.3400000e-04   4.7040457e+02   4.7853593e+02   4.8273585e+02   4.7947756e+02
   1.3600000e-04   4.6942251e+02   4.7673353e+02   4.8178931e+02   4.7851282e+02
   1.3800000e-04   4.6844046e+02   4.7673353e+02   4.8178931e+02   4.7658333e+02
   1.4000000e-04   4.6844046e+02   4.7493114e+02   4.8084277e+02   4.7561859e+02
   1.4200000e-04   4.6844046e+02   4.7312874e+02   4.7894969e+02   4.7561859e+02
   1.4400000e-04   4.6844046e+02   4.7042515e+02   4.7800314e+02   4.7465385e+02
   1.4600000e-04   4.6745840e+02   4.6862275e+02   4.7421698e+02   4.7465385e+02
   1.4800000e-04   4.6745840e+02   4.6862275e+02   4.7327044e+02   4.7272436e+02
   1.5000000e-04   4.6745840e+02   4.6862275e+02   4.7232390e+02   4.7272436e+02
   1.5200000e-04   4.6745840e+02   4.6772156e+02   4.7232390e+02   4.7272436e+02
   1.5400000e-04   4.6549429e+02   4.6411677e+02   4.7137736e+02   4.6886538e+02
